,id,title,focus_sentence,aspect_politics,aspect_humanity,aspect_science,aspect_economy
323,muah4c-gv4xh40-gv4vgr1-5,CMV: we will never tackle climate change without massively investing in nuclear energy,"All it would do would be to muddy the waters and make the funding of renewables, which nuclear actively competes with, more uncertain for 30 years, and keeping more carbon on the grid for that duration.",,,,
473,dfd2db-f32e199-f32dv4y-5,CMV: Corporations and the Ultra Wealthy CEOs are responsible for climate change,"When I turn on my gas grill and cook a burger from meat made on deforested land in the amazon, this is the fault of the meat industry because they gave me the burger.",,,,
393,an59pr-efqz73l-efqvprb-5,CMV: The most ethical course of action is to take very drastic measures to stop climate change,"Another premise, however, is that when a producer leaves carbon for green then the price of carbon goes up and the price of green goes down.",,,,
382,f4gi9s-fhrzdjp-fhqobjk-1,CMV: I don't totally trust the 97% Climate Change Consensus,"Perhaps you could check the websites of the royal academy, national Academy of Sciences, that sort of thing, as well as major institutions like the geological society of America or the geology society.",,,,
46,blfh5d-emo00of-emnyrmd-6,CMV: you can't have a serious plan to reverse climate change without nuclear energy being a central power source,"There's no amount of common sense, or increased understanding of nuclear energy safety, that is ever going to overcome the influence of billions of dollars in lobbying.",,,,
81,q6e7rm-46,"CMV: While it's not technically too late to mitigate climate change, the conditions required to do so are not going to happen in the time we have left. Most of humanity is going to die, whether through starvation or war.","They believe that if they delay their transition to renewables for just a couple of decades longer, they can achieve economic dominance over the US and other countries that are hobbling their economy for climate change's sake.",,,,
50,csberj-exh4ym1-exe447q-0,CMV: Celebrities and politicians that believe in climate change should adopt extreme lifestyle changes and donate bulk of their $ to the cause.,"While I do agree that they want congress to enact changes, and that those changes would be positive, my argument was not really trying to identify the most effective solution or even discuss government / private industry.",,,,
126,qps0qw-hjxm12x-hjvuo3q-6,"CMV: The current pushback on the traditional Climate Change narrative where people are pointing out that the vast majority of global carbon emissions are caused by large corporations, while true, is counterproductive buck-passing and is not an effective reaction or tactic to address climate change.","On that regard, that narrative where people are pointing out that the vast majority of global carbon emissions are caused by large corporations isn't necessarily counterproductive.",,,,
153,cqmrbw-ewyw1h0-ewxk58i-1,"CMV: We've reached, or very close to, the point of no return in terms of climate change and having a habitable world.","Global net human-caused emissions of carbon dioxide (CO2) would need to fall by about 45 percent from 2010 levels by 2030, reaching net zero around 2050.",,,,
10,an59pr-efr6yxf-efr3dn4-38,CMV: The most ethical course of action is to take very drastic measures to stop climate change,"In this way, the most ethical course of action is for Western countries to disproportionately take action because they disproportionately caused the most damage to the environment, and developing countries should get more time to use fossil fuels to raise their standard of living.",,,,
424,hxxntu-1,"CMV: If you truly believe that climate change is an existential threat but you still live like a first world citizen, you either selfishly don't think it will significantly affect you, or you are a hypocrite.","The very fact that most of us live in a first world consumption based economy means that everything we buy and use requires extensive supply chains and transport lines, all of which produce greenhouse gasses.",,,,
436,boou2f-2,CMV: There is no policy worth worrying about until climate change is fixed,I don't understand how anyone could vote against a carbon tax or be for opening up more coal mines and expanding the non renewable industry.,,,,
251,e0du1x-2,CMV: Climate change will not end the world within the next 100years,"There are to my knowledge 4 major effects of climate change: sea levels rising, global warming, mass extinction and air pollution.",,,,
455,odc0e9-h4062z8-h402gbh-16,CMV: Worrying about climate change is a waste of emotional energy,"Business too is not going to do anything about climate change, capitalism cannot account for externalities, so profit will always trump the environment.",,,,
259,cqmrbw-3,"CMV: We've reached, or very close to, the point of no return in terms of climate change and having a habitable world.","Even if we were to change for the better, anything short of a drastic cold turkey change, it would not be fast enough for us to leave a habitable world for our descendants.",,,,
39,d7m308-f1928hp-f14d8le-11,CMV: Individuals decreasing their emissions have little effect on climate change,"This political effect will eventually lead to policy changes that circumvent the freeloader problem, thereby eventually leading to lower global emissions.",,,,
418,8t5hur-0,CMV: A carbon tax will help fight climate change,I think that we need a carbon tax or something similar that taxes companies for the amount of greenhouse gases they produce to help deal with climate change.,,,,
11,l9ssyl-glk957j-glk135r-1,"CMV: The Green New Deal distracts from climate change, by tying climate change to left-leaning policy/rhetoric. The bill seems designed to raise republican opposition, and is a disappointment/insulting for people who believe that climate change is the #1 issue of our lifetime.",I don't think there are enough republicans serious about trying to be bipartisan to actually pass any meaningful climate change bills with 60+ votes.,,,,
301,6r2yhj-5,"CMV: Climate change is following a long, natural cycle rather than from manmade influence.","As I said, I am skeptical about the extent of human cause, not the fact it is happening.",,,,
